Date,Category,Description,Amount
2026-01-24,Subscriptions,Spotify,12.46
2026-01-28,Utilities,Water,80.7
2026-01-08,Utilities,Internet,138.67
2026-02-05,Transport,Uber,13.38
2026-03-31,Healthcare,Pharmacy,56.42
2026-01-08,Healthcare,Pharmacy,129.7
2026-02-27,Groceries,Walmart,46.92
2026-03-01,Healthcare,Pharmacy,19.96
2026-02-19,Utilities,Water,60.35
2026-01-28,Transport,Uber,47.34
2026-02-10,Transport,Lyft,27.81
2026-03-05,Subscriptions,Spotify,11.14
2026-01-27,Education,Online Course,164.07
2026-03-04,Groceries,Whole Foods,128.66
2026-01-17,Subscriptions,Gym,9.98
2026-03-14,Education,Online Course,141.79
2026-02-02,Healthcare,Dentist,117.96
2026-03-25,Subscriptions,Netflix,14.82
2026-03-18,Entertainment,Movie,23.64
2026-01-29,Healthcare,Doctor,132.62
2026-01-13,Education,Books,112.43
2026-02-15,Groceries,Target,56.72
2026-02-04,Education,Online Course,90.79
2026-01-06,Subscriptions,Netflix,5.56
2026-03-23,Subscriptions,Gym,6.92
2026-03-10,Dining Out,McDonalds,63.59
2026-02-16,Groceries,Walmart,20.0
2026-01-25,Misc,Donation,44.57
2026-03-07,Healthcare,Doctor,83.15
2026-01-10,Transport,Lyft,7.46
2026-02-25,Groceries,Target,146.5
2026-01-30,Transport,Gas Station,15.18
2026-01-05,Groceries,Whole Foods,59.55
2026-02-02,Groceries,Whole Foods,59.51
2026-03-06,Education,Online Course,53.78
2026-01-18,Groceries,Target,20.19
2026-02-18,Dining Out,Starbucks,61.05
2026-01-11,Misc,Other,96.85
2026-03-26,Subscriptions,Spotify,8.36
2026-01-26,Clothing,H&M,137.66
2026-03-04,Transport,Uber,38.39
2026-03-30,Subscriptions,Spotify,17.73
2026-03-27,Clothing,H&M,93.19
2026-02-28,Misc,Gift,33.78
2026-01-27,Misc,Other,35.9
2026-02-18,Transport,Lyft,37.07
2026-03-18,Transport,Lyft,41.76
2026-02-02,Misc,Other,22.25
2026-01-01,Clothing,H&M,83.62
2026-01-21,Groceries,Walmart,137.25
2026-02-24,Healthcare,Doctor,122.94
2026-01-06,Entertainment,Movie,98.64
2026-03-22,Subscriptions,Gym,16.31
2026-03-10,Education,Supplies,84.71
2026-01-05,Subscriptions,Spotify,13.86
2026-01-03,Education,Supplies,135.59
2026-02-22,Clothing,Uniqlo,29.51
2026-01-23,Education,Online Course,113.45
2026-02-22,Transport,Gas Station,36.92
2026-02-06,Healthcare,Dentist,33.42
2026-03-15,Healthcare,Dentist,119.29
2026-03-15,Transport,Uber,31.27
2026-03-24,Dining Out,Starbucks,76.66
2026-01-17,Clothing,Zara,22.85
2026-03-26,Dining Out,Starbucks,28.57
2026-03-19,Dining Out,McDonalds,52.11
2026-03-14,Subscriptions,Netflix,9.45
2026-01-01,Misc,Donation,72.87
2026-02-20,Subscriptions,Netflix,16.39
2026-02-14,Misc,Donation,14.74
2026-03-18,Entertainment,Movie,56.25
2026-01-04,Education,Supplies,106.69
2026-03-03,Misc,Other,40.08
2026-03-06,Transport,Lyft,46.98
2026-02-01,Subscriptions,Netflix,17.41
2026-02-03,Clothing,H&M,143.98
2026-03-13,Education,Supplies,145.72
2026-02-08,Entertainment,Video Game,51.55
2026-01-26,Misc,Gift,92.49
2026-02-03,Entertainment,Movie,72.51
2026-02-23,Clothing,H&M,149.86
2026-01-03,Dining Out,McDonalds,70.32
2026-02-19,Healthcare,Pharmacy,48.37
2026-01-12,Clothing,H&M,164.31
2026-03-06,Utilities,Water,79.29
2026-02-23,Clothing,H&M,78.89
2026-01-05,Entertainment,Video Game,40.2
2026-02-26,Transport,Lyft,49.03
2026-01-17,Subscriptions,Netflix,17.85
2026-02-16,Transport,Gas Station,36.55
2026-01-23,Entertainment,Concert,75.44
2026-03-20,Subscriptions,Gym,13.43
2026-03-26,Utilities,Electricity,192.06
2026-01-14,Healthcare,Pharmacy,79.48
2026-03-07,Education,Books,82.3
2026-03-16,Entertainment,Movie,24.67
2026-02-20,Misc,Donation,79.69
2026-02-07,Entertainment,Concert,76.1
2026-03-05,Entertainment,Video Game,44.59
2026-02-07,Subscriptions,Netflix,5.38
2026-02-19,Groceries,Whole Foods,129.07
2026-03-23,Clothing,Zara,17.11
2026-01-30,Groceries,Walmart,111.48
2026-03-20,Utilities,Electricity,195.54
2026-02-20,Misc,Donation,46.58
2026-03-04,Healthcare,Doctor,42.9
2026-02-21,Dining Out,Starbucks,59.34
2026-02-07,Utilities,Water,172.57
2026-03-29,Dining Out,Starbucks,48.25
2026-03-20,Dining Out,McDonalds,77.69
2026-01-30,Healthcare,Doctor,17.23
2026-02-20,Transport,Uber,27.72
2026-03-22,Groceries,Walmart,113.4
2026-01-05,Entertainment,Concert,87.64
2026-01-29,Education,Online Course,44.06
2026-01-04,Dining Out,McDonalds,66.0
2026-01-10,Misc,Donation,57.51
2026-02-25,Utilities,Water,109.48
2026-01-17,Transport,Lyft,10.93
2026-03-15,Dining Out,Local Restaurant,70.57
2026-01-17,Transport,Uber,12.08
2026-03-25,Transport,Gas Station,18.94
2026-03-29,Dining Out,Starbucks,30.3
2026-03-10,Subscriptions,Gym,18.07
2026-02-03,Clothing,Zara,139.45
2026-01-06,Misc,Other,80.68
2026-02-22,Entertainment,Concert,32.54
2026-03-07,Entertainment,Video Game,66.24
2026-03-18,Misc,Other,59.32
2026-02-12,Subscriptions,Gym,17.49
2026-03-16,Entertainment,Movie,91.55
2026-01-23,Transport,Gas Station,5.55
2026-02-24,Healthcare,Pharmacy,104.36
2026-03-21,Utilities,Water,57.78
2026-03-16,Groceries,Whole Foods,91.35
2026-01-16,Entertainment,Concert,35.89
2026-01-08,Misc,Donation,34.14
2026-01-04,Healthcare,Dentist,59.41
2026-01-04,Dining Out,McDonalds,53.49
2026-02-25,Clothing,Uniqlo,76.8
2026-01-25,Misc,Donation,74.61
2026-03-08,Transport,Lyft,23.2
2026-03-08,Clothing,Uniqlo,27.65
2026-01-27,Utilities,Electricity,167.56
2026-02-01,Utilities,Electricity,92.86
2026-02-19,Subscriptions,Spotify,11.49
2026-03-02,Education,Online Course,140.23
2026-02-20,Subscriptions,Netflix,9.99
2026-01-19,Healthcare,Dentist,17.92
2026-01-21,Clothing,Zara,84.18
2026-01-05,Education,Books,189.45
2026-03-23,Dining Out,Starbucks,54.92
2026-02-11,Transport,Gas Station,35.22
2026-03-02,Clothing,H&M,131.97
2026-01-22,Subscriptions,Spotify,7.98
2026-01-21,Groceries,Whole Foods,74.38
2026-03-11,Education,Online Course,152.68
2026-01-01,Education,Supplies,29.26
2026-01-05,Transport,Gas Station,17.5
2026-01-12,Entertainment,Movie,34.87
2026-03-31,Utilities,Internet,114.8
2026-02-15,Utilities,Water,197.06
2026-02-03,Groceries,Whole Foods,28.78
2026-02-18,Healthcare,Dentist,82.62
2026-03-19,Healthcare,Pharmacy,35.11
2026-03-31,Dining Out,Local Restaurant,77.95
2026-02-14,Clothing,Uniqlo,35.96
2026-01-27,Misc,Donation,43.34
2026-03-14,Entertainment,Movie,76.41
2026-01-26,Subscriptions,Netflix,15.57
2026-02-16,Misc,Gift,45.16
2026-03-27,Misc,Other,37.92
2026-02-25,Education,Books,85.55
2026-03-04,Groceries,Whole Foods,54.36
2026-02-17,Utilities,Internet,80.8
2026-03-02,Dining Out,Starbucks,43.81
2026-03-22,Healthcare,Doctor,47.59
2026-01-26,Groceries,Target,57.37
2026-02-05,Education,Online Course,134.78
2026-01-01,Subscriptions,Spotify,19.53
2026-01-08,Dining Out,Local Restaurant,52.25
2026-02-21,Education,Supplies,24.63
2026-03-20,Utilities,Electricity,61.34
2026-02-16,Utilities,Internet,192.71
2026-02-25,Utilities,Internet,94.59
2026-03-27,Groceries,Target,31.97
2026-01-14,Groceries,Whole Foods,97.88
2026-03-31,Healthcare,Doctor,97.31
2026-01-28,Healthcare,Pharmacy,100.79
2026-03-28,Subscriptions,Netflix,9.01
2026-03-19,Dining Out,Local Restaurant,11.06
2026-03-29,Transport,Uber,48.43
2026-01-02,Transport,Gas Station,16.29
2026-01-26,Education,Books,138.44
2026-01-14,Utilities,Water,155.99
2026-02-28,Dining Out,Starbucks,52.7
2026-02-25,Misc,Donation,34.73
2026-01-07,Groceries,Target,55.24
2026-01-03,Clothing,Uniqlo,125.57
2026-01-23,Entertainment,Movie,87.95
2026-01-18,Subscriptions,Gym,19.2
2026-02-07,Utilities,Water,65.89
2026-01-15,Utilities,Internet,73.22
2026-03-05,Utilities,Electricity,191.71
2026-03-30,Groceries,Whole Foods,115.75
2026-01-28,Groceries,Walmart,134.79
2026-03-15,Entertainment,Video Game,28.24
2026-02-08,Misc,Gift,60.82
2026-02-26,Dining Out,McDonalds,59.08
2026-01-17,Utilities,Water,152.02
2026-03-27,Transport,Uber,23.37
2026-03-31,Healthcare,Doctor,12.16
2026-02-13,Transport,Lyft,31.23
2026-01-25,Education,Online Course,58.09
2026-01-17,Transport,Gas Station,25.26
2026-01-13,Education,Supplies,191.94
2026-03-25,Clothing,Uniqlo,88.82
2026-01-25,Healthcare,Dentist,127.57
2026-03-09,Transport,Uber,13.48
2026-01-10,Clothing,H&M,139.41
2026-03-08,Subscriptions,Gym,19.66
2026-01-18,Dining Out,McDonalds,17.13
2026-03-27,Clothing,H&M,16.54
2026-02-03,Dining Out,Starbucks,40.35
2026-01-08,Transport,Lyft,9.17
2026-02-09,Misc,Donation,76.1
2026-03-24,Clothing,Zara,184.19
2026-02-11,Healthcare,Pharmacy,70.76
2026-02-10,Transport,Gas Station,16.64
2026-01-06,Utilities,Electricity,115.16
2026-02-21,Groceries,Walmart,114.05
2026-01-26,Clothing,H&M,16.68
2026-03-05,Healthcare,Doctor,92.52
2026-02-28,Subscriptions,Spotify,14.2
2026-02-25,Utilities,Water,145.65
2026-02-28,Subscriptions,Gym,8.63
2026-03-11,Transport,Uber,37.13
2026-02-02,Groceries,Whole Foods,31.88
2026-02-22,Clothing,Zara,51.87
2026-01-22,Clothing,Uniqlo,177.33
2026-01-21,Misc,Gift,75.18
2026-03-11,Misc,Gift,6.31
2026-03-11,Transport,Lyft,16.18
2026-01-04,Transport,Lyft,14.65
2026-03-16,Groceries,Whole Foods,55.2
2026-03-03,Misc,Donation,28.52
2026-03-03,Healthcare,Doctor,18.75
2026-01-24,Healthcare,Pharmacy,74.25
2026-02-24,Groceries,Target,115.26
2026-01-09,Healthcare,Doctor,94.94
2026-01-03,Education,Books,137.85
2026-01-31,Dining Out,McDonalds,15.68
2026-02-09,Groceries,Whole Foods,143.69
2026-02-05,Groceries,Target,129.0
2026-01-24,Entertainment,Movie,82.46
2026-01-06,Utilities,Internet,173.45
2026-03-07,Utilities,Internet,189.91
2026-03-25,Education,Online Course,113.41
2026-03-16,Misc,Donation,24.03
2026-01-04,Transport,Gas Station,32.76
2026-03-20,Transport,Uber,38.43
2026-01-06,Subscriptions,Gym,16.07
2026-02-20,Education,Online Course,109.08
2026-03-03,Groceries,Walmart,28.9
2026-02-26,Education,Books,80.51
2026-03-07,Education,Supplies,184.95
2026-03-20,Education,Online Course,121.05
2026-03-16,Utilities,Internet,130.75
2026-01-08,Education,Supplies,61.08
2026-01-26,Dining Out,Local Restaurant,35.79
2026-02-20,Transport,Uber,45.29
2026-02-14,Subscriptions,Netflix,15.0
2026-02-13,Dining Out,Starbucks,65.12
2026-01-05,Subscriptions,Spotify,11.82
2026-03-11,Entertainment,Video Game,66.72
2026-01-26,Subscriptions,Gym,8.73
2026-03-09,Transport,Gas Station,36.75
2026-01-19,Transport,Lyft,24.24
2026-03-25,Education,Books,94.08
2026-01-20,Clothing,H&M,135.12
2026-01-12,Entertainment,Video Game,94.27
2026-02-16,Groceries,Whole Foods,28.32
2026-01-01,Healthcare,Dentist,125.46
2026-03-31,Subscriptions,Gym,9.39
2026-01-14,Clothing,Zara,97.13
2026-03-05,Education,Books,14.16
2026-02-07,Utilities,Internet,95.16
2026-02-06,Groceries,Target,85.34
2026-01-11,Misc,Other,10.34
2026-03-18,Clothing,Uniqlo,105.85
2026-01-03,Utilities,Electricity,189.07
2026-02-02,Entertainment,Video Game,19.49
2026-01-06,Education,Books,155.24
2026-02-19,Groceries,Walmart,73.26
2026-01-10,Groceries,Walmart,105.17
2026-01-05,Groceries,Target,53.83
2026-01-23,Entertainment,Concert,24.35
2026-01-10,Subscriptions,Netflix,7.41
2026-02-13,Misc,Other,11.7
2026-01-02,Entertainment,Movie,26.71
2026-01-13,Healthcare,Dentist,102.99
2026-02-09,Misc,Gift,88.76
2026-01-02,Transport,Gas Station,41.64
2026-03-25,Education,Online Course,140.18
2026-03-06,Entertainment,Video Game,19.94
2026-03-04,Utilities,Electricity,93.38
2026-03-14,Misc,Donation,34.43
2026-01-17,Healthcare,Dentist,44.99
2026-01-09,Transport,Gas Station,28.18
2026-03-16,Subscriptions,Gym,13.03
2026-01-15,Utilities,Internet,103.53
2026-01-24,Misc,Other,38.61
2026-02-07,Education,Online Course,167.43
2026-02-04,Utilities,Water,168.39
2026-02-18,Transport,Lyft,18.85
2026-03-10,Utilities,Water,187.07
2026-03-03,Dining Out,McDonalds,76.7
2026-03-01,Clothing,Zara,75.45
2026-02-19,Subscriptions,Gym,10.32
2026-03-19,Transport,Gas Station,27.75
2026-03-16,Utilities,Water,191.17
2026-01-09,Clothing,Uniqlo,177.12
2026-02-03,Clothing,Zara,33.98
2026-03-17,Utilities,Internet,108.91
2026-02-04,Education,Books,115.14
2026-01-01,Dining Out,McDonalds,45.22
2026-02-09,Entertainment,Concert,27.45
2026-03-05,Dining Out,Starbucks,70.12
2026-01-22,Utilities,Water,151.54
2026-03-01,Subscriptions,Gym,17.57
2026-03-05,Entertainment,Concert,87.29
2026-03-13,Transport,Uber,38.68
